depth,count
1750,11
1751,3
1752,9
1753,11
1754,11
1755,6
1756,12
1757,13
1758,7
1759,6
1760,8
1761,11
1762,7
1763,7
1764,12
1765,14
1766,9
1767,1
1768,12
1769,8
1770,10
1771,12
1772,4
1773,11
1774,16
1775,11
1776,2
1777,6
1778,9
1779,5
1780,7
1781,8
1782,16
1783,12
1784,5
1785,14
1786,12
1787,7
1788,4
1789,9
1790,7
1791,4
1792,14
1793,10
1794,13
1795,6
1796,8
1797,13
1798,12
1799,6
1800,4
1801,16
1802,6
1803,8
1804,7
1805,10
1806,9
1807,4
1808,13
1809,10
1810,16
1811,3
1812,6
1813,10
1814,9
1815,9
1816,7
1817,10
1818,12
1819,15
1820,5
1821,5
1822,10
1823,4
1824,5
1825,11
1826,13
1827,12
1828,13
1829,11
1830,12
1831,7
1833,6
1834,12
1835,3
1836,10
1837,16
1838,14
1839,4
1840,8
1841,16
1842,7
1843,4
1844,2
1845,15
1846,11
1847,5
1848,10
1849,10
1850,11
1851,5
1852,13
1853,8
1854,9
1855,13
1856,5
1857,8
1858,12
1859,10
1860,3
1861,8
1862,11
1863,9
1864,15
1865,6
1866,9
1867,6
1868,5
1869,14
1870,11
1871,7
1872,6
1873,17
1874,10
1875,6
1876,6
1877,5
1878,14
1879,1
1880,9
1881,13
1882,17
1883,9
1884,4
1885,14
1886,8
1887,5
1888,5
1889,10
1890,9
1891,11
1892,10
1893,9
1894,12
1895,6
1896,9
1897,12
1898,7
1899,6
1900,13
1901,8
1902,7
1903,7
1904,6
1905,8
1906,13
1907,9
1908,12
1909,13
1910,7
1911,10
1912,3
1913,10
1914,11
1915,9
1916,2
1917,11
1918,23
1919,4
1920,5
1921,5
1922,12
1923,3
1924,9
1925,16
1926,10
1927,11
1928,7
1929,15
1930,7
1931,3
1932,3
1933,8
1934,9
1935,7
1936,18
1937,9
1938,12
1939,10
1940,7
1941,9
1942,8
1943,4
1944,5
1945,14
1946,10
1947,7
1948,12
1949,9
1950,13
1951,8
1952,5
1953,12
1954,12
1955,9
1956,2
1957,11
1958,11
1959,5
1960,7
1961,8
1962,17
1963,10
1964,5
1965,7
1966,11
1967,6
1968,6
1969,14
1970,9
1971,9
1972,11
1973,13
1974,9
1975,2
1976,5
1977,8
1978,12
1979,6
1980,11
1981,20
1982,8
1983,6
1984,10
1985,11
1986,5
1987,3
1988,8
1989,8
1990,19
1991,6
1992,8
1993,8
1994,10
1995,14
1996,5
1997,7
1998,10
